Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-30447,RB,Todd,Todd Gurley,Gurley,27.7285723,7,11000,GB@LAR,LAR,GB,,,
29305-57439,QB,Patrick,Patrick Mahomes,Mahomes,27.98857117,7,9200,DEN@KC,KC,DEN,,,
29305-64401,RB,Saquon,Saquon Barkley,Barkley,22.71428571,7,8900,WAS@NYG,NYG,WAS,,,
29305-11612,WR,Antonio,Antonio Brown,Brown,17.30000051,6,8800,CLE@PIT,PIT,CLE,,,
29305-14187,WR,A.J.,A.J. Green,Green,15.58571407,7,8800,TB@CIN,CIN,TB,,,
29305-6894,QB,Aaron,Aaron Rodgers,Rodgers,22.32999929,6,8600,GB@LAR,GB,LAR,,,
29305-45889,WR,Davante,Davante Adams,Adams,19.19999949,6,8600,GB@LAR,GB,LAR,,,
29305-38435,QB,Jared,Jared Goff,Goff,20.52857099,7,8500,GB@LAR,LAR,GB,,,
29305-31360,WR,Odell,Odell Beckham,Beckham,15.49714334,7,8500,WAS@NYG,NYG,WAS,,,
29305-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,22.58666738,6,8400,CLE@PIT,PIT,CLE,,,
29305-21939,QB,Andrew,Andrew Luck,Luck,22.34571402,7,8300,IND@OAK,IND,OAK,,,
29305-45229,RB,Kareem,Kareem Hunt,Hunt,19.75714329,7,8100,DEN@KC,KC,DEN,,,
29305-14185,QB,Cam,Cam Newton,Newton,24.1299998,6,8100,BAL@CAR,CAR,BAL,Q,Shoulder,
29305-28181,RB,Le'Veon,Le'Veon Bell,Bell,19.94000041,15,8000,CLE@PIT,PIT,CLE,O,Contract dispute,
29305-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,15.18333308,6,8000,CLE@PIT,PIT,CLE,,,
29305-40687,RB,James,James Conner,Conner,21.33333333,6,8000,CLE@PIT,PIT,CLE,,,
29305-52442,RB,Joe,Joe Mixon,Mixon,14.91999969,5,7800,TB@CIN,CIN,TB,,,
29305-24849,QB,Jameis,Jameis Winston,Winston,21.09999975,3,7800,TB@CIN,TB,CIN,,,
29305-53681,WR,Tyreek,Tyreek Hill,Hill,19.5,7,7800,DEN@KC,KC,DEN,,,
29305-32384,WR,Mike,Mike Evans,Evans,15.84999975,6,7800,TB@CIN,TB,CIN,,,
29305-14225,QB,Andy,Andy Dalton,Dalton,18.28285762,7,7800,TB@CIN,CIN,TB,,,
29305-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,23.70999908,6,7700,NYJ@CHI,CHI,NYJ,,,
29305-29685,WR,Robert,Robert Woods,Woods,15.38571385,7,7600,GB@LAR,LAR,GB,,,
29305-6714,QB,Joe,Joe Flacco,Flacco,17.68285697,7,7500,BAL@CAR,BAL,CAR,,,
29305-29501,WR,Brandin,Brandin Cooks,Cooks,14.53333282,6,7500,GB@LAR,LAR,GB,,,
29305-22015,QB,Russell,Russell Wilson,Wilson,17.41999944,6,7400,SEA@DET,SEA,DET,,,
29305-22031,WR,T.Y.,T.Y. Hilton,Hilton,13.68000031,5,7400,IND@OAK,IND,OAK,,,
29305-62497,RB,David,David Johnson,Johnson,13.15714264,7,7300,SF@ARI,ARI,SF,,,
29305-33076,TE,Travis,Travis Kelce,Kelce,13.32857186,7,7300,DEN@KC,KC,DEN,,,
29305-27986,QB,C.J.,C.J. Beathard,Beathard,17.37000084,4,7300,SF@ARI,SF,ARI,,,
29305-6654,QB,Matthew,Matthew Stafford,Stafford,18.1299998,6,7300,SEA@DET,DET,SEA,,,
29305-55050,RB,Christian,Christian McCaffrey,McCaffrey,15.11666616,6,7300,BAL@CAR,CAR,BAL,,,
29305-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,16.81714303,7,7200,DEN@KC,DEN,KC,,,
29305-41535,QB,Baker,Baker Mayfield,Mayfield,15.76799927,5,7200,CLE@PIT,CLE,PIT,,,
29305-8005,QB,Alex,Alex Smith,Smith,15.6200002,6,7200,WAS@NYG,WAS,NYG,,,
29305-79974,RB,Tarik,Tarik Cohen,Cohen,13.61666616,6,7100,NYJ@CHI,CHI,NYJ,,,
29305-11485,WR,Golden,Golden Tate,Tate,14.51666641,6,7100,SEA@DET,DET,SEA,Q,Ankle,
29305-22994,QB,Case,Case Keenum,Keenum,15.07428523,7,7000,DEN@KC,DEN,KC,,,
29305-6703,RB,Adrian,Adrian Peterson,Peterson,13.03333282,6,7000,WAS@NYG,WAS,NYG,Q,Ankle,
29305-63806,RB,Kerryon,Kerryon Johnson,Johnson,11.13333384,6,6900,SEA@DET,DET,SEA,,,
29305-45859,QB,Derek,Derek Carr,Carr,15.48666636,6,6900,IND@OAK,OAK,IND,,,
29305-79970,WR,Cooper,Cooper Kupp,Kupp,15.21666718,6,6800,GB@LAR,LAR,GB,D,Knee - mcl,
29305-40669,WR,Tyler,Tyler Boyd,Boyd,13.24285671,7,6800,TB@CIN,CIN,TB,,,
29305-39793,TE,George,George Kittle,Kittle,11.81428528,7,6800,SF@ARI,SF,ARI,,,
29305-63589,QB,Sam,Sam Darnold,Darnold,14.28285762,7,6700,NYJ@CHI,NYJ,CHI,,,
29305-54606,WR,John,John Brown,Brown,13.45714242,7,6700,BAL@CAR,BAL,CAR,,,
29305-27050,WR,Tyler,Tyler Lockett,Lockett,13.21666718,6,6700,SEA@DET,SEA,DET,,,
29305-57909,RB,Marlon,Marlon Mack,Mack,14.93333308,3,6700,IND@OAK,IND,OAK,Q,Ankle,
29305-31394,WR,Jarvis,Jarvis Landry,Landry,11.91428593,7,6700,CLE@PIT,CLE,PIT,,,
29305-6826,QB,Eli,Eli Manning,Manning,15.47714233,7,6700,WAS@NYG,NYG,WAS,,,
29305-54244,WR,Kenny,Kenny Golladay,Golladay,13.16666667,6,6600,SEA@DET,DET,SEA,,,
29305-41426,RB,Phillip,Phillip Lindsay,Lindsay,11.57142857,7,6500,DEN@KC,DEN,KC,,,
29305-27477,WR,Sterling,Sterling Shepard,Shepard,11.82857186,7,6500,WAS@NYG,NYG,WAS,,,
29305-24641,WR,Sammy,Sammy Watkins,Watkins,8.371428353,7,6400,DEN@KC,KC,DEN,,,
29305-11512,TE,Jimmy,Jimmy Graham,Graham,9.066666921,6,6400,GB@LAR,GB,LAR,Q,Knee,
29305-14626,WR,Doug,Doug Baldwin,Baldwin,4.824999809,4,6400,SEA@DET,SEA,DET,,,
29305-53562,RB,Nick,Nick Chubb,Chubb,6.185714177,7,6400,CLE@PIT,CLE,PIT,,,
29305-28080,WR,Devin,Devin Funchess,Funchess,11.65000025,6,6400,BAL@CAR,CAR,BAL,,,
29305-6739,WR,DeSean,DeSean Jackson,Jackson,14.93333308,6,6400,TB@CIN,TB,CIN,,,
29305-30297,TE,Trey,Trey Burton,Burton,11.44999949,6,6400,NYJ@CHI,CHI,NYJ,,,
29305-25272,TE,Eric,Eric Ebron,Ebron,12.58571407,7,6400,IND@OAK,IND,OAK,,,
29305-62364,QB,Josh,Josh Rosen,Rosen,7.880000305,5,6400,SF@ARI,ARI,SF,Q,Toe,
29305-9371,RB,Marshawn,Marshawn Lynch,Lynch,11.91666667,6,6300,IND@OAK,OAK,IND,IR,Groin,
29305-11432,WR,Demaryius,Demaryius Thomas,Thomas,10.24285671,7,6300,DEN@KC,DEN,KC,,,
29305-9392,WR,Michael,Michael Crabtree,Crabtree,10.05714308,7,6300,BAL@CAR,BAL,CAR,,,
29305-55635,WR,Chris,Chris Godwin,Godwin,10.96666718,6,6300,TB@CIN,TB,CIN,,,
29305-64119,RB,Chris,Chris Carson,Carson,9.659999847,5,6300,SEA@DET,SEA,DET,,,
29305-28643,WR,Allen,Allen Robinson,Robinson,8.833333333,6,6300,NYJ@CHI,CHI,NYJ,Q,Groin,
29305-63115,QB,Lamar,Lamar Jackson,Jackson,2.494285583,7,6200,BAL@CAR,BAL,CAR,,,
29305-25290,RB,Giovani,Giovani Bernard,Bernard,12.07499981,4,6100,TB@CIN,CIN,TB,Q,Knee - mcl,
29305-40843,RB,Alex,Alex Collins,Collins,10.22857121,7,6100,BAL@CAR,BAL,CAR,,,
29305-14257,WR,Randall,Randall Cobb,Cobb,10.63333321,3,6100,GB@LAR,GB,LAR,Q,Hamstring,
29305-29715,QB,Kevin,Kevin Hogan,Hogan,9.694999695,4,6000,DEN@KC,DEN,KC,,,
29305-24607,QB,Chad,Chad Kelly,Kelly,-0.100000001,1,6000,DEN@KC,DEN,KC,,,
29305-14377,QB,Tyrod,Tyrod Taylor,Taylor,14.32666651,3,6000,CLE@PIT,CLE,PIT,,,
29305-30788,QB,Tyler,Tyler Bray,Bray,-2,1,6000,NYJ@CHI,CHI,NYJ,,,
29305-53331,QB,Taylor,Taylor Heinicke,Heinicke,0.600000024,1,6000,BAL@CAR,CAR,BAL,,,
29305-83079,QB,Kyle,Kyle Lauletta,Lauletta,0,0,6000,WAS@NYG,NYG,WAS,,,
29305-11414,QB,Sam,Sam Bradford,Bradford,5.566666921,3,6000,SF@ARI,ARI,SF,,,
29305-42142,RB,Jordan,Jordan Howard,Howard,9.21666654,6,6000,NYJ@CHI,CHI,NYJ,,,
29305-83130,QB,Chad,Chad Kanoff,Kanoff,0,0,6000,SF@ARI,ARI,SF,,,
29305-57537,QB,DeShone,DeShone Kizer,Kizer,-0.800000012,1,6000,GB@LAR,GB,LAR,,,
