Team,Avg PassYds,Avg RushYds,Avg PassTDs,Avg RushTDs,Avg PassAtt,Avg RushAtt,% Rush,Avg FG,,
49ers,254,137,1.7,0.6,33,27,45%,2,SFO,2
Bears,266,131,2.2,0.8,35,29,45%,1.7,CHI,1.2
Bengals,266,86,2.1,0.7,37,20,35%,1.1,CIN,1.7
Bills,156,105,0.4,0.6,29,27,49%,1.4,BUF,1.9
Broncos,268,125,1.3,1.1,36,24,40%,1.6,DEN,1.9
Browns,250,135,1.1,1.3,39,29,43%,1.4,CLE,1.7
Buccaneers,377,86,2.7,0.7,40,24,37%,1.3,TAM,1
Cardinals,174,65,0.7,0.7,30,20,40%,0.4,ARI,1.3
Chargers,288,124,2.4,0.9,32,25,44%,1.7,LAC,1.4
Chiefs,318,124,3.1,1,36,26,42%,1.7,KAN,1.9
Colts,278,103,2.9,0.3,45,23,34%,1.7,IND,2.7
Cowboys,202,136,1.1,0.7,29,28,48%,2.3,DAL,1.6
Dolphins,240,107,2.1,0.3,30,23,44%,0.9,MIA,1.9
Eagles,281,103,1.6,0.9,40,26,39%,1.6,PHI,1.7
Falcons,336,83,2.1,1,39,22,37%,1.7,ATL,1.3
Giants,303,84,1.1,0.7,38,19,33%,2.1,NYG,2.9
Jaguars,270,99,1.4,0.3,40,23,37%,1.1,JAC,2.7
Jets,222,122,1.4,0.9,32,28,47%,2.4,NYJ,1.7
Lions,269,120,2,0.7,37,25,40%,2.2,DET,1.8
Packers,342,104,2,0.3,44,22,34%,2.5,GNB,1.3
Panthers,238,136,1.8,0.8,35,26,43%,1.3,CAR,1.3
Patriots,268,121,2.3,1,36,29,45%,1.9,NWE,1.9
Raiders,297,93,1.2,0.5,39,24,38%,1.8,OAK,2
Rams,304,153,2,1.6,31,31,50%,1.9,LAR,1.4
Ravens,299,96,1.6,1.3,44,28,39%,1.9,BAL,1.1
Redskins,231,119,1.2,0.8,33,30,47%,2,WAS,0.7
Saints,313,108,2.2,1.8,37,28,43%,2,NOR,1.3
Seahawks,218,128,2.2,0.7,28,30,52%,1.3,SEA,1.5
Steelers,339,89,2,1.3,44,22,33%,0.8,PIT,1.2
Texans,277,114,1.4,0.4,35,29,46%,2.4,HOU,1.9
Titans,183,108,0.6,0.4,28,27,49%,2.1,TEN,1.7
Vikings,309,87,2,0.6,43,22,34%,1.7,MIN,2.1
