#,Player,Team,Rec,Rec Yds,Rec TD,YPR,Rush ATT,Rush Yds,Rush TD,YPC,FF Pts,/G
23,Ricky Seals-Jones,ARI,17,204,1,12,0,0,0,nan,26,3.8
18,Mark Andrews,BAL,14,163,2,11.6,0,0,0,nan,28,4
36,Greg Olsen,CAR,8,86,1,10.8,0,0,0,nan,15,4.9
5,Trey Burton,CHI,24,325,4,13.5,1,2,0,2,57,9.5
16,C.J. Uzomah,CIN,17,184,2,10.8,0,0,0,nan,30,4.3
10,David Njoku,CLE,31,297,2,9.6,0,0,0,nan,42,6
21,Geoff Swaim,DAL,19,205,1,10.8,0,0,0,nan,27,3.8
11,Jimmy Graham,GB,27,349,1,12.9,0,0,0,nan,41,6.8
3,Eric Ebron,IND,33,357,6,10.8,1,-1,0,-1,72,10.2
35,Austin Seferian-Jenkins,JAX,11,90,1,8.2,0,0,0,nan,15,3
1,Travis Kelce,KC,38,563,3,14.8,0,0,0,nan,74,10.6
12,Kyle Rudolph,MIN,28,282,2,10.1,0,0,0,nan,40,5.7
8,Rob Gronkowski,NE,26,405,1,15.6,0,0,0,nan,45,7.4
17,Ben Watson,NO,23,230,1,10,0,0,0,nan,29,4.8
31,Josh Hill,NO,8,124,1,15.5,0,0,0,nan,18,3.1
30,Evan Engram,NYG,12,120,1,10,1,10,0,10,19,4.8
6,Jared Cook,OAK,32,400,2,12.5,0,0,0,nan,52,8.7
2,Zach Ertz,PHI,57,618,2,10.8,0,0,0,nan,74,10.5
19,Dallas Goedert,PHI,17,156,2,9.2,0,0,0,nan,28,3.9
13,Jesse James,PIT,17,274,1,16.1,0,0,0,nan,33,5.6
14,Vance McDonald,PIT,20,274,1,13.7,0,0,0,nan,31,6.3
20,Will Dissly,SEA,8,156,2,19.5,0,0,0,nan,28,6.9
4,George Kittle,SF,32,527,2,16.5,0,0,0,nan,65,9.2
7,O.J. Howard,TB,20,351,2,17.6,0,0,0,nan,47,7.9
25,Cameron Brate,TB,10,101,3,10.1,0,0,0,nan,26,4.4
15,Jordan Reed,WAS,22,268,1,12.2,0,0,0,nan,31,5.1
