#,Player,Team,Rec,Rec Yds,Rec TD,YPR,Rush ATT,Rush Yds,Rush TD,YPC,FF Pts,/G
47,Christian Kirk,ARI,28,368,1,13.1,2,12,0,6,44,6.3
67,Larry Fitzgerald,ARI,26,255,1,9.8,0,0,0,nan,32,4.5
11,John Brown,BAL,28,558,4,19.9,2,4,0,2,80,11.5
35,Michael Crabtree,BAL,35,409,2,11.7,0,0,0,nan,53,7.6
49,Willie Snead,BAL,33,336,1,10.2,1,13,0,13,41,5.8
32,Devin Funchess,CAR,29,374,3,12.9,0,0,0,nan,55,9.2
73,Torrey Smith,CAR,16,171,2,10.7,0,0,0,nan,29,4.9
80,D.J. Moore,CAR,13,191,1,14.7,4,46,0,11.5,26,4.3
41,Taylor Gabriel,CHI,30,329,2,11,6,36,0,6,49,8.1
52,Allen Robinson,CHI,25,285,2,11.4,0,0,0,nan,41,6.8
6,A.J. Green,CIN,40,611,5,15.3,0,0,0,nan,89,12.7
17,Tyler Boyd,CIN,40,482,4,12.1,1,5,0,5,73,10.4
27,Jarvis Landry,CLE,41,489,2,11.9,0,0,0,nan,61,8.7
57,Josh Gordon,CLE,14,241,2,17.2,0,0,0,nan,36,7.2
70,Rashard Higgins,CLE,16,244,1,15.3,0,0,0,nan,30,6.1
78,Antonio Callaway,CLE,16,200,1,12.5,2,7,0,3.5,27,3.8
3,Emmanuel Sanders,DEN,46,603,3,13.1,2,53,1,26.5,95,13.5
33,Demaryius Thomas,DEN,33,372,3,11.3,0,0,0,nan,55,7.9
56,Courtland Sutton,DEN,14,246,2,17.6,0,0,0,nan,37,5.2
20,Golden Tate,DET,37,467,3,12.6,2,39,0,19.5,69,11.4
25,Kenny Golladay,DET,29,465,3,16,0,0,0,nan,65,10.8
45,Marvin Jones,DET,19,270,3,14.2,0,0,0,nan,45,7.5
5,Davante Adams,GB,47,557,6,11.9,0,0,0,nan,92,15.3
50,Geronimo Allison,GB,19,289,2,15.2,0,0,0,nan,41,10.2
77,Marquez Valdes-Scantling,GB,12,212,1,17.7,0,0,0,nan,27,4.5
4,DeAndre Hopkins,HOU,47,707,4,15,1,-7,0,-7,92,13.1
31,Will Fuller,HOU,27,379,3,14,0,0,0,nan,56,9.3
30,T.Y. Hilton,IND,25,319,4,12.8,0,0,0,nan,56,11.2
59,Chester Rogers,IND,32,295,1,9.2,0,0,0,nan,36,5.1
64,Ryan Grant,IND,26,270,1,10.4,0,0,0,nan,33,5.5
38,Dede Westbrook,JAX,31,405,2,13.1,2,5,0,2.5,51,7.3
48,Donte Moncrief,JAX,25,325,2,13,0,0,0,nan,43,6.1
54,Keelan Cole,JAX,27,357,1,13.2,0,0,0,nan,40,5.7
2,Tyreek Hill,KC,41,635,7,15.5,10,45,0,4.5,110,15.7
43,Sammy Watkins,KC,26,346,1,13.3,4,50,0,12.5,46,6.5
7,Robert Woods,LAR,41,602,3,14.7,8,90,0,11.3,87,12.5
15,Cooper Kupp,LAR,30,438,5,14.6,4,25,0,6.3,76,12.7
18,Brandin Cooks,LAR,32,569,2,17.8,3,23,0,7.7,71,10.2
19,Albert Wilson,MIA,26,391,4,15,8,16,0,2,71,10.1
37,Kenny Stills,MIA,16,281,4,17.6,0,0,0,nan,52,7.4
60,Danny Amendola,MIA,30,294,1,9.8,0,0,0,nan,35,5.1
62,Jakeem Grant,MIA,16,216,2,13.5,1,5,0,5,34,4.9
1,Adam Thielen,MIN,67,822,5,12.3,0,0,0,nan,112,16
21,Stefon Diggs,MIN,48,468,3,9.8,7,36,0,5.1,68,9.8
53,Chris Hogan,NE,21,284,2,13.5,0,0,0,nan,40,5.8
66,Phillip Dorsett,NE,20,198,2,9.9,0,0,0,nan,32,4.5
76,Julian Edelman,NE,16,147,2,9.2,1,7,0,7,27,9.1
12,Michael Thomas,NO,53,588,4,11.1,0,0,0,nan,79,13.1
72,TreQuan Smith,NO,7,173,2,24.7,0,0,0,nan,29,4.9
79,Ted Ginn,NO,12,135,2,11.3,3,26,0,8.7,26,6.5
9,Odell Beckham,NYG,53,649,2,12.2,4,8,0,2,82,11.7
26,Sterling Shepard,NYG,36,508,2,14.1,0,0,0,nan,63,9
46,Robby Anderson,NYJ,17,314,3,18.5,1,-9,0,-9,45,6.4
58,Terrelle Pryor,NYJ,14,235,2,16.8,0,0,0,nan,36,5.9
65,Quincy Enunwa,NYJ,22,287,1,13,1,0,0,0,33,5.5
39,Jordy Nelson,OAK,22,323,3,14.7,0,0,0,nan,50,8.4
61,Amari Cooper,OAK,22,280,1,12.7,1,9,0,9,35,5.8
34,Alshon Jeffery,PHI,25,306,4,12.2,0,0,0,nan,55,13.7
51,Nelson Agholor,PHI,38,323,1,8.5,2,18,0,9,41,5.8
8,Antonio Brown,PIT,40,478,6,12,0,0,0,nan,84,14
23,JuJu Smith-Schuster,PIT,42,561,2,13.4,0,0,0,nan,68,11.4
24,Tyler Lockett,SEA,23,360,5,15.7,3,18,0,6,68,11.3
68,David Moore,SEA,7,124,3,17.7,1,5,0,5,31,5.2
55,Marquise Goodwin,SF,11,204,3,18.5,3,7,0,2.3,39,7.8
13,DeSean Jackson,TB,23,526,3,22.9,3,15,1,5,78,13
16,Mike Evans,TB,40,591,3,14.8,0,0,0,nan,75,12.5
36,Chris Godwin,TB,26,308,4,11.8,0,0,0,nan,53,8.8
63,Paul Richardson,WAS,16,212,2,13.3,1,2,0,2,33,6.7
