Time,Team,Opponent,Line,Moneyline,Over/Under,Projected Points,4For4,4For4,FanDuel
4:25 PM,ARI,vs. SFO,1,-100,42.5,20.75,ARI,ARI,ARI
1:00 PM,BAL,@ CAR,-2,-130,44,23,BAL,BAL,BAL
8:15 PM,BUF,vs. NEP,14,800,44.5,15.25,BUF,BUF,BUF
1:00 PM,CAR,vs. BAL,2,110,44,21,CAR,CAR,CAR
1:00 PM,CHI,vs. NYJ,-7.5,-350,45,26.25,CHI,CHI,CHI
1:00 PM,CIN,vs. TBB,-4,-200,54,29,CIN,CIN,CIN
1:00 PM,CLE,@ PIT,8,300,49.5,20.75,CLE,CLE,CLE
1:00 PM,DEN,@ KCC,10,390,53.5,21.75,DEN,DEN,DEN
1:00 PM,DET,vs. SEA,-3,-150,49.5,26.25,DET,DET,DET
4:25 PM,GBP,@ LAR,9.5,330,56.5,23.5,GBP,GNB,GB
8:20 PM,HOU,vs. MIA,-7.5,-380,44.5,26,HOU,HOU,HOU
4:05 PM,IND,@ OAK,-3,-150,50.5,26.75,IND,IND,IND
9:30 AM,JAC,vs. PHI,3.5,155,42.5,19.5,JAC,JAC,JAC
1:00 PM,KCC,vs. DEN,-10,-500,53.5,31.75,KCC,KAN,KC
4:25 PM,LAR,vs. GBP,-9.5,-420,56.5,33,LAR,LAR,LAR
8:20 PM,MIA,@ HOU,7.5,300,44.5,18.5,MIA,MIA,MIA
8:20 PM,MIN,vs. NOS,0,-110,52.5,26.25,MIN,MIN,MIN
8:15 PM,NEP,@ BUF,-14,-1300,44.5,29.25,NEP,NEW,NE
8:20 PM,NOS,@ MIN,0,-110,52.5,26.25,NOS,NOR,NO
1:00 PM,NYG,vs. WAS,1,-105,42.5,20.75,NYG,NYG,NYG
1:00 PM,NYJ,@ CHI,7.5,275,45,18.75,NYJ,NYJ,NYJ
4:05 PM,OAK,vs. IND,3,130,50.5,23.75,OAK,OAK,OAK
9:30 AM,PHI,@ JAC,-3.5,-175,42.5,23,PHI,PHI,PHI
1:00 PM,PIT,vs. CLE,-8,-380,49.5,28.75,PIT,PIT,PIT
1:00 PM,SEA,@ DET,3,130,49.5,23.25,SEA,SEA,SEA
4:25 PM,SFO,@ ARI,-1,-120,42.5,21.75,SFO,SFO,SF
1:00 PM,TBB,@ CIN,4,170,54,25,TBB,TAM,TB
1:00 PM,WAS,@ NYG,-1,-115,42.5,21.75,WAS,WAS,WAS
